postcode,address_house,address_street,state,country,property_valuation
2016,060, Morning Avenue,New South Wales,Australia,10
2153,6, Meadow Vale Court,New South Wales,Australia,10
4211,0, Holy Cross Court,QLD,Australia,9
2448,17979, Del Mar Point,New South Wales,Australia,4
3216,9, Oakridge Court,VIC,Australia,9
2210,4, Delaware Trail,New South Wales,Australia,9
2650,49, Londonderry Lane,New South Wales,Australia,4
2023,97736, ,New South Wales,Australia,12
3044,93405, Ludington Park,VIC,Australia,8
4557,44339, Golden Leaf Alley,QLD,Australia,4
3799,2, Sutherland Street,VIC,Australia,6
2760,9, Mcbride Trail,New South Wales,Australia,8
2428,9861, New Castle Avenue,New South Wales,Australia,9
3331,52, Moland Street,VIC,Australia,4
3058,82391, Kensington Lane,VIC,Australia,9
2135,092, ,New South Wales,Australia,12
2233,59, Spaight Circle,New South Wales,Australia,9
2444,032, Bartelt Crossing,New South Wales,Australia,8
2650,18, Jenna Center,New South Wales,Australia,7
2153,3, Cordelia Plaza,New South Wales,Australia,10
4413,28, ,QLD,Australia,3
4740,52, Carey Alley,QLD,Australia,5
3218,96, Texas Plaza,VIC,Australia,7
4868,48, Eagan Avenue,QLD,Australia,4
4116,9, Buell Park,QLD,Australia,7
2519,02663, Buell Parkway,New South Wales,Australia,11
2135,2294, Pleasure Place,New South Wales,Australia,12
2756,2951, Petterle Place,New South Wales,Australia,9
2170,63, Lukken Drive,New South Wales,Australia,9
4005,833, Luster Way,QLD,Australia,8
4127,34, Russell Plaza,QLD,Australia,6
2535,78, Del Sol Hill,New South Wales,Australia,8
4726,54, Sage Plaza,QLD,Australia,1
4805,90, Lawn Parkway,QLD,Australia,4
2212,38726, Ilene Crossing,New South Wales,Australia,10
2207,3496, Brown Drive,New South Wales,Australia,8
3350,7188, Cody Way,VIC,Australia,9
3931,1, Claremont Park,VIC,Australia,10
4018,60, Eagan Circle,QLD,Australia,8
4670,89314, Eagle Crest Center,QLD,Australia,2
2480,2028, Lakewood Place,New South Wales,Australia,3
3212,70875, Hudson Point,VIC,Australia,6
2322,543, Killdeer Park,New South Wales,Australia,4
3198,22125, Ramsey Drive,VIC,Australia,9
2210,3107, Calypso Terrace,New South Wales,Australia,9
2047,957, Veith Junction,New South Wales,Australia,10
4503,4853, Gulseth Avenue,QLD,Australia,5
2145,9, Michigan Terrace,New South Wales,Australia,8
4350,62, Steensland Road,QLD,Australia,3
2142,6, Homewood Avenue,New South Wales,Australia,8
2029,15, Almo Lane,New South Wales,Australia,10
2127,690, Glacier Hill Circle,New South Wales,Australia,10
4280,89787, Village Green Terrace,QLD,Australia,6
2166,18, Elgar Park,New South Wales,Australia,9
2046,413, Mayer Street,New South Wales,Australia,9
2026,39, ,New South Wales,Australia,10
2765,44516, Katie Parkway,New South Wales,Australia,7
2749,41, Schurz Center,New South Wales,Australia,8
2745,68150, Boyd Road,New South Wales,Australia,9
3752,11474, Westend Hill,VIC,Australia,8
2153,308, Jana Crossing,New South Wales,Australia,10
2217,163, Straubel Trail,New South Wales,Australia,10
2230,68294, Clarendon Crossing,New South Wales,Australia,10
3046,486, Mariners Cove Plaza,VIC,Australia,7
3183,0322, Dryden Court,VIC,Australia,7
2070,9, Bonner Road,New South Wales,Australia,12
2213,07041, Briar Crest Lane,New South Wales,Australia,10
4208,29466, Hanson Pass,QLD,Australia,6
2774,0212, Forest Run Trail,New South Wales,Australia,8
4133,33055, Menomonie Parkway,QLD,Australia,8
2756,4763, Merchant Avenue,New South Wales,Australia,8
4213,439, Ridgeway Court,QLD,Australia,9
4170,2, Clyde Gallagher Lane,QLD,Australia,5
2153,97455, Loeprich Lane,New South Wales,Australia,9
2073,9527, Ridgeway Street,New South Wales,Australia,10
3561,7, Jackson Point,VIC,Australia,1
2330,74, Anniversary Junction,New South Wales,Australia,6
3977,2083, Spaight Court,VIC,Australia,8
2204,2796, Caliangt Circle,New South Wales,Australia,12
2086,96061, Ludington Place,New South Wales,Australia,11
2226,5037, Merchant Crossing,New South Wales,Australia,11
2075,289, Haas Street,New South Wales,Australia,11
2038,4423, Bartelt Parkway,New South Wales,Australia,12
2069,5, Grim Center,New South Wales,Australia,12
2100,73042, Roth Crossing,New South Wales,Australia,11
2233,171, Fordem Junction,New South Wales,Australia,10
2166,2640, Manley Point,New South Wales,Australia,9
3133,3, Hintze Pass,VIC,Australia,10
3070,2, Mcbride Road,VIC,Australia,10
2777,67234, Transport Hill,New South Wales,Australia,7
3133,72, Dorton Crossing,VIC,Australia,10
2125,6, Heffernan Center,New South Wales,Australia,11
2766,6088, Roxbury Hill,New South Wales,Australia,8
2209,105, Shelley Alley,New South Wales,Australia,10
2160,079, Merry Park,New South Wales,Australia,9
2065,8722, Summit Alley,New South Wales,Australia,12
2150,9554, Artisan Pass,New South Wales,Australia,10
2168,55850, Butterfield Road,New South Wales,Australia,9
2046,68, Little Fleur Crossing,New South Wales,Australia,12
4171,85688, New Castle Crossing,QLD,Australia,10
2155,8611, Loomis Lane,New South Wales,Australia,10
2517,7909, Pierstorff Crossing,New South Wales,Australia,9
2096,01, Muir Parkway,New South Wales,Australia,12
2750,0410, Division Junction,New South Wales,Australia,8
2217,41, Service Lane,New South Wales,Australia,11
3977,5, Moose Road,VIC,Australia,8
2093,7342, Fieldstone Junction,New South Wales,Australia,12
3204,0, David Terrace,VIC,Australia,11
4300,15239, Northwestern Point,QLD,Australia,4
2170,60, Oneill Street,New South Wales,Australia,9
3844,8194, Sachtjen Drive,VIC,Australia,1
2168,0349, Farmco Terrace,New South Wales,Australia,8
4226,185, Pennsylvania Way,QLD,Australia,6
3192,432, Longview Circle,VIC,Australia,10
3070,5814, Bunker Hill Street,VIC,Australia,7
2485,7, Carberry Crossing,New South Wales,Australia,2
2097,53, Talisman Trail,New South Wales,Australia,9
4817,5, Prairie Rose Road,QLD,Australia,2
2516,84, Florence Parkway,New South Wales,Australia,8
3074,739, Elmside Way,VIC,Australia,8
2213,684, Northport Circle,New South Wales,Australia,10
4508,8, Hagan Hill,QLD,Australia,4
4405,0, Pearson Crossing,QLD,Australia,1
2452,10918, Merry Way,New South Wales,Australia,5
2142,97, Coolidge Trail,New South Wales,Australia,9
2205,58, Helena Hill,New South Wales,Australia,7
4132,352, Forster Place,QLD,Australia,3
2145,12306, Lawn Street,New South Wales,Australia,8
4744,19392, ,QLD,Australia,1
2158,1605, Northfield Junction,New South Wales,Australia,11
3201,9674, Graceland Junction,VIC,Australia,6
4178,638, Thackeray Junction,QLD,Australia,3
2112,869, Forster Circle,New South Wales,Australia,10
2033,0, Golden Leaf Crossing,New South Wales,Australia,9
4401,215, Lindbergh Trail,QLD,Australia,1
3186,829, Washington Crossing,VIC,Australia,9
2097,585, Loomis Court,New South Wales,Australia,11
3058,68063, Blue Bill Park Center,VIC,Australia,9
4017,15673, Farmco Point,QLD,Australia,6
2315,22, Oxford Junction,New South Wales,Australia,3
2285,7245, Cottonwood Center,New South Wales,Australia,5
2219,20382, Spohn Alley,New South Wales,Australia,11
2065,12375, Cambridge Pass,New South Wales,Australia,11
3216,03, Granby Parkway,VIC,Australia,8
4509,939, Coleman Pass,QLD,Australia,7
2330,69914, Bowman Place,NSW,Australia,7
2759,34457, Springview Street,NSW,Australia,9
2069,992, Old Shore Trail,NSW,Australia,12
2747,453, Sheridan Street,NSW,Australia,8
2227,8, Mccormick Crossing,NSW,Australia,8
2025,63344, Holmberg Crossing,NSW,Australia,10
3191,9, Huxley Circle,VIC,Australia,11
3025,0, Hazelcrest Road,VIC,Australia,8
2263,2, Continental Plaza,NSW,Australia,6
2233,80, Duke Terrace,NSW,Australia,10
2154,860, Hintze Lane,NSW,Australia,11
2065,3723, Bunker Hill Circle,NSW,Australia,10
2119,5, Corry Court,NSW,Australia,10
3016,65105, Sommers Pass,VIC,Australia,10
4113,2054, Sommers Pass,QLD,Australia,4
2032,22371, Miller Trail,NSW,Australia,10
4300,35807, Oneill Way,QLD,Australia,4
4352,75612, Clarendon Junction,QLD,Australia,6
3020,16, Golf View Center,VIC,Australia,6
2116,93, Iowa Junction,NSW,Australia,9
3057,48, Cascade Terrace,VIC,Australia,8
2099,13950, Jackson Avenue,NSW,Australia,11
3749,35386, Mockingbird Road,VIC,Australia,4
2766,2, Randy Point,NSW,Australia,8
2148,6898, Redwing Park,NSW,Australia,9
3145,52273, Bay Place,VIC,Australia,11
2021,272, Montana Avenue,NSW,Australia,8
2333,82520, Mifflin Drive,NSW,Australia,5
2783,8, Dixon Parkway,NSW,Australia,7
2280,4, Dayton Terrace,NSW,Australia,9
4120,216, Barnett Junction,QLD,Australia,8
3638,8256, Annamark Court,VIC,Australia,1
4300,83012, Dapin Lane,QLD,Australia,4
2074,8, Haas Park,NSW,Australia,10
2880,50, Meadow Ridge Way,NSW,Australia,1
2430,3567, Northfield Lane,NSW,Australia,5
4560,0059, Brentwood Road,QLD,Australia,7
2088,0274, Oneill Alley,NSW,Australia,10
2220,4179, Carioca Terrace,NSW,Australia,11
3031,59265, Sullivan Junction,VIC,Australia,4
2250,7, Warbler Point,NSW,Australia,9
2261,3, Buell Park,NSW,Australia,7
3196,0, Bay Center,VIC,Australia,6
4352,10878, Waywood Way,QLD,Australia,7
4680,362, Mayer Terrace,QLD,Australia,5
3143,43, Upham Crossing,VIC,Australia,9
2747,0, Superior Drive,NSW,Australia,8
2063,8890, Golden Leaf Street,NSW,Australia,12
3021,5484, Hagan Crossing,VIC,Australia,7
2138,7451, Jana Lane,NSW,Australia,8
4005,7, Havey Point,QLD,Australia,2
