transaction_id,customer_id,product_id,transaction_date,online_order,order_status
1,2950,2,2/25/17,False,Approved
2,3120,3,5/21/17,True,Approved
3,402,37,10/16/17,False,Approved
4,3135,88,8/31/17,False,Approved
5,787,78,10/1/17,True,Approved
6,2339,25,3/8/17,True,Approved
7,1542,22,4/21/17,True,Approved
8,2459,15,7/15/17,False,Approved
9,1305,67,8/10/17,False,Approved
10,3262,12,8/30/17,True,Approved
11,1986,5,1/17/17,False,Approved
12,2783,61,1/5/17,True,Approved
13,1243,35,2/26/17,True,Approved
14,2717,16,9/10/17,False,Approved
15,247,12,6/11/17,False,Approved
16,2961,3,10/10/17,False,Approved
17,2426,79,4/3/17,False,Approved
18,1842,33,6/2/17,False,Approved
19,2268,54,4/6/17,True,Approved
20,3002,25,1/28/17,True,Approved
21,1582,27,10/9/17,False,Approved
22,595,37,6/29/17,True,Approved
23,2001,37,4/8/17,True,Approved
24,515,82,10/18/17,False,Approved
25,2822,89,6/11/17,False,Approved
26,2596,64,1/10/17,False,Approved
27,2666,64,4/11/17,True,Approved
28,76,19,12/23/17,False,Approved
29,3368,72,10/13/17,True,Approved
30,1173,91,3/15/17,False,Approved
31,2810,88,9/5/17,True,Approved
32,3214,1,2/18/17,False,Approved
33,1272,25,3/20/17,False,Approved
34,2003,99,2/28/17,True,Approved
35,2171,0,8/20/17,False,Approved
36,3356,92,7/7/17,False,Approved
37,1040,14,1/9/17,False,Approved
38,2916,2,12/6/17,False,Approved
39,427,12,9/12/17,False,Approved
40,2448,0,11/28/17,True,Approved
41,2570,44,5/8/17,True,Approved
42,3398,79,5/14/17,False,Approved
43,488,76,3/17/17,False,Cancelled
44,165,46,12/22/17,False,Approved
45,2787,55,6/7/17,True,Approved
46,3053,66,6/20/17,False,Approved
47,475,35,5/7/17,True,Approved
48,1305,81,6/10/17,True,Approved
49,1251,86,6/17/17,False,Approved
50,3103,32,5/10/17,False,Approved
51,3108,77,3/24/17,False,Approved
52,857,96,11/27/17,False,Approved
53,3455,6,12/21/17,True,Approved
54,2549,27,2/9/17,True,Approved
55,3140,0,9/18/17,False,Approved
56,3406,47,11/14/17,False,Approved
57,2294,94,8/30/17,True,Approved
58,1031,91,11/14/17,False,Approved
59,993,93,2/15/17,True,Approved
60,3473,60,12/18/17,False,Approved
61,1839,0,2/24/17,False,Approved
62,1824,33,12/18/17,True,Approved
63,368,35,12/17/17,False,Approved
64,2000,0,7/8/17,False,Approved
65,825,28,5/16/17,True,Approved
66,3315,86,2/23/17,True,Approved
67,75,2,7/3/17,True,Approved
68,1498,4,9/30/17,True,Approved
69,1612,38,10/21/17,True,Approved
70,2192,27,5/6/17,True,Approved
71,419,54,1/3/17,False,Approved
72,3307,77,5/9/17,True,Approved
73,2430,22,7/23/17,False,Approved
74,1506,56,1/21/17,True,Approved
75,1346,58,6/20/17,False,Approved
76,927,22,3/10/17,False,Approved
77,763,50,6/2/17,False,Approved
78,2397,80,11/7/17,False,Approved
79,102,87,9/12/17,True,Approved
